crop,name,symptoms,control,description,image_url
Corn,Maize Mosaic Virus,Yellow stripes along veins on a green background. Stunting.,Control plant hopper vectors (Peregrinus maidis).,Viral disease. Vector management is key.,https://apps.lucidcentral.org/pppw_v10/images/entities/maize_mosaic_virus_074/maize_mosaic_virus.jpg
Tomato,Early Blight,Concentric rings (bullseye) on lower leaves. Leaves turn yellow and drop.,Spray Mancozeb or Chlorothalonil. Crop rotation.,Caused by Alternaria solani. Very common in warm climates.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Alternaria_solani_01.jpg/800px-Alternaria_solani_01.jpg
Tomato,Late Blight,Water-soaked dark spots on leaves/stems. White fungal growth in humidity. Rotting fruit.,Spray Metalaxyl + Mancozeb. Destroy infected plants immediately.,Caused by Phytophthora infestans. Devastating disease (Irish potato famine).,https://upload.wikimedia.org/wikipedia/commons/5/5f/Phytophthora_infestans_potato_lie_de_vin.jpg
Tomato,Tomato Yellow Leaf Curl Virus (TYLCV),"Leaves curl upward, cup-shaped, yellow margins. Plants stunted. No fruit set.",Use resistant varieties. Control whitefly (vector) with Imidacloprid/Neem oil.,"Caused by Begomovirus, transmitted by Whitefly (Bemisia tabaci).",https://upload.wikimedia.org/wikipedia/commons/0/05/Tomato_Yellow_Leaf_Curl_Virus.JPG
Tomato,Bacterial Wilt,Rapid wilting of plant while green. Cut stem oozes white bacterial slime in water.,Soil solarization. Use resistant rootstock. Crop rotation with non-solanaceous crops.,Caused by Ralstonia solanacearum. Soil-borne.,https://content.ces.ncsu.edu/media/images/Bacterial_Wilt_Tomato_1.jpg
Tomato,Fusarium Wilt,"Yellowing of lower leaves, often on one side (unilateral). Vascular browning inside stem.",Resistant varieties (VF). Soil drenching with Carbendazim.,Caused by Fusarium oxysporum f.sp. lycopersici. Soil-borne fungus.,https://bugwoodcloud.org/images/768x512/5360066.jpg
Tomato,Septoria Leaf Spot,Small water-soaked to gray circular spots with dark borders. Fungal fruiting bodies (black dots) in center.,Mulching to prevent splash. Fungicides like Chlorothalonil.,Caused by Septoria lycopersici. Defoliates lower leaves.,https://extension.umn.edu/sites/extension.umn.edu/files/septoria-leaf-spot-tomato-leaf.jpg
Tomato,Powdery Mildew,"White powdery patches on leaves, stems. Leaves turn yellow and dry.",Spray Wettable Sulphur or Azoxystrobin.,Caused by Leveillula taurica / Oidium neolycopersici.,https://bugwoodcloud.org/images/768x512/5359074.jpg
Tomato,Blossom End Rot,"Dark, sunken, leathery spot at the bottom (blossom end) of the fruit.",Regular watering (prevent fluctuation). Calcium spray (Calcium Chloride).,Physiological disorder caused by Calcium deficiency/fluctuating moisture.,https://upload.wikimedia.org/wikipedia/commons/1/15/Tomato_blossom_end_rot.jpg
Tomato,Mosaic Virus (ToMV),Mottled light and dark green mosaic pattern on leaves. Fern-leaf symptoms.,Remove infected plants. Wash hands (mechanically transmitted). Disease-free seed.,Tomato Mosaic Virus. Highly contagious.,https://upload.wikimedia.org/wikipedia/commons/e/e0/Tomato_mosaic_virus.jpg
Tomato,Leaf Mold,"Pale yellow spots on upper leaf surface, olive-green velvet mold on underside.",Improve ventilation (greenhouses). Fungicides like Copper.,Caused by Passalora fulva. High humidity problem.,https://extension.umn.edu/sites/extension.umn.edu/files/leaf-mold-tomato-leaf-underside.jpg
Potato,Late Blight,Water-soaked spots on leaves with white fuzzy growth. Tubers get brown rot.,Use Metalaxyl + Mancozeb. Destruct haulms before harvest.,Caused by Phytophthora infestans. Same as tomato.,https://upload.wikimedia.org/wikipedia/commons/5/5f/Phytophthora_infestans_potato_lie_de_vin.jpg
Potato,Early Blight,Target-board concentric rings on leaves. Dry rot in tubers.,Spray Mancozeb or Chlorothalonil.,Caused by Alternaria solani. Attacks stressed plants.,https://bugwoodcloud.org/images/768x512/1559196.jpg
Potato,Common Scab,Cork-like rough raised or pitted lesions on tuber surface.,Maintain soil pH below 5.2. Rotate crops.,Caused by Streptomyces scabies (Bacteria). Affects market quality.,https://upload.wikimedia.org/wikipedia/commons/0/07/Common_scab_on_potato.jpg
Potato,Black Scurf (Rhizoctonia),Black lumps (sclerotia) on tubers ('dirt that won't wash off'). Stem cankers.,Use clean seed tubers. Seed treatment with Pencycuron.,Caused by Rhizoctonia solani.,https://potatoes.ahdb.org.uk/sites/default/files/styles/banner_image/public/images/black-scurf-symptoms.jpg
Potato,Bacterial Wilt (Brown Rot),Wilting. Vascular ring in tuber turns brown. White slime oozes from eyes/cut.,Use disease-free seed. Crop rotation (3-5 years).,Caused by Ralstonia solanacearum. Quarantine pest.,https://bugwoodcloud.org/images/768x512/5359055.jpg
Potato,Potato Leaf Roll Virus (PLRV),Upward rolling of lower leaves. Leaves leathery/brittle. Stunting.,Use certified seed potatoes. Control aphids.,Viral disease transmitted by aphids.,https://upload.wikimedia.org/wikipedia/commons/7/77/Potato_leafroll_virus.jpg
Potato,"Mosaic Viruses (PVY, PVX)","Mottling, rugosity (wrinkling), stunting. Yield loss.",Certified seed. Roguing (removing) infected plants.,Potato Virus Y is the most severe mosaic.,https://potatoes.ahdb.org.uk/sites/default/files/styles/banner_image/public/images/pvy-symptoms.jpg
Potato,Wart Disease,Cauliflower-like warty growths on tubers.,"Strict Quarantine. Resistant varieties (e.g., Kufri Jyoti).",Caused by Synchytrium endobioticum. Fungal disease.,https://upload.wikimedia.org/wikipedia/commons/6/6f/Potato_wart.jpg
Potato,Black Leg / Soft Rot,"Black inky rot at base of stem. Tubers turn into soft, foul-smelling mush.",Avoid wet soils. Store tubers dry.,Caused by Pectobacterium (Erwinia) species. Bacterial.,https://bugwoodcloud.org/images/768x512/5196085.jpg
Potato,Dry Rot,"Dry, wrinkled rot involved with white/pink fungal growth on stored tubers.",Gentle handling to avoid wounds. Curing before storage.,Caused by Fusarium species. Storage disease.,https://potatoes.ahdb.org.uk/sites/default/files/styles/banner_image/public/images/dry-rot.jpg
Sugarcane,Red Rot,Reddening of internal tissue with white spots. Alcoholic smell.,Disease-free setts. Heat therapy.,Colletotrichum falcatum,https://via.placeholder.com/400x300?text=Red+Rot
Sugarcane,Smut,Black whip-like structure emerging from central spindle.,Remove whips. Resistant varieties.,Sporisorium scitamineum,https://via.placeholder.com/400x300?text=Smut
Sugarcane,Wilt,"Hollow, lightweight canes. Internal browning.",Healthy seed. Crop rotation.,Fusarium sacchari,https://via.placeholder.com/400x300?text=Wilt
Sugarcane,Grassy Shoot,"Numerous thin tillers, grass-like appearance. Chlorosis.",Hot water treatment (50°C).,Phytoplasma,https://via.placeholder.com/400x300?text=Grassy+Shoot
Sugarcane,Leaf Scald,White 'pencil line' streaks on leaves.,Resistant varieties.,Xanthomonas albilineans,https://via.placeholder.com/400x300?text=Leaf+Scald
Sugarcane,Pokkah Boeng,Twisted/distorted top leaves. Chlorosis.,Spray Carbendazim.,Fusarium moniliforme,https://via.placeholder.com/400x300?text=Pokkah+Boeng
Sugarcane,Rust,Elongated orange pustules on leaves.,Spray Mancozeb.,Puccinia melanocephala,https://via.placeholder.com/400x300?text=Rust
Sugarcane,Mosaic,Mottled patterns on leaves.,Use virus-free seed.,Sugarcane Mosaic Virus,https://via.placeholder.com/400x300?text=Mosaic
Sugarcane,Ratoon Stunting,"Stunted growth, thin canes. Orange vascular bundles.",Hot water treatment.,Leifsonia xyli,https://via.placeholder.com/400x300?text=Ratoon+Stunting
Sugarcane,Red Stripe,Red streaks on leaves.,Resistant varieties.,Pseudomonas rubrilineans,https://via.placeholder.com/400x300?text=Red+Stripe
Cotton,Bacterial Blight (Black Arm),Angular water-soaked spots on leaves. Black lesions on stem.,Seed treatment. Copper sprays.,Xanthomonas citri pv. malvacearum,https://via.placeholder.com/400x300?text=Bacterial+Blight+(Black+Arm)
Cotton,Cotton Leaf Curl Virus,"Upward leaf curling, vein thickening, enation.",Control Whitefly. Resistant varieties.,Begomovirus,https://via.placeholder.com/400x300?text=Cotton+Leaf+Curl+Virus
Cotton,Fusarium Wilt,"Yellowing, wilting, vascular browning.",Resistant varieties. Potash.,Fusarium oxysporum,https://via.placeholder.com/400x300?text=Fusarium+Wilt
Cotton,Verticillium Wilt,Mottling of leaves ('tiger stripe').,Crop rotation.,Verticillium dahliae,https://via.placeholder.com/400x300?text=Verticillium+Wilt
Cotton,Grey Mildew,White frosty growth on leaves.,Wettable sulphur.,Ramularia areola,https://via.placeholder.com/400x300?text=Grey+Mildew
Cotton,Alternaria Leaf Spot,"Target spots, leaf fall.",Spray Mancozeb.,Alternaria macrospora,https://via.placeholder.com/400x300?text=Alternaria+Leaf+Spot
Cotton,Root Rot,"Sudden wilting, bark shreds.",Spot drenching with Carbendazim.,Rhizoctonia solani,https://via.placeholder.com/400x300?text=Root+Rot
Cotton,Anthracnose,Reddish spots on bolls/stems.,Fungicides.,Colletotrichum gossypii,https://via.placeholder.com/400x300?text=Anthracnose
Cotton,Tobacco Streak Virus,Necrosis of leaf tissues.,Control thrips.,Ilarvirus,https://via.placeholder.com/400x300?text=Tobacco+Streak+Virus
Cotton,Boll Rot,Rotting of bolls.,Manage canopy humidity.,Complex (Fungi/Bacteria),https://via.placeholder.com/400x300?text=Boll+Rot
Chilli,Anthracnose (Fruit Rot),Sunken circular spots on fruits. Dieback of twigs.,Spray Mancozeb/Carbendazim.,Colletotrichum capsici,https://via.placeholder.com/400x300?text=Anthracnose+(Fruit+Rot)
Chilli,Leaf Curl Virus,"Curled, crumpled leaves. Stunted plants.",Control whitefly/thrips/mites.,Begomovirus,https://via.placeholder.com/400x300?text=Leaf+Curl+Virus
Chilli,Powdery Mildew,White powder on leaf underside.,Wettable Sulphur.,Leveillula taurica,https://via.placeholder.com/400x300?text=Powdery+Mildew
Chilli,Bacterial Spot,Small water-soaked spots becoming necrotic.,Copper sprays.,Xanthomonas campestris,https://via.placeholder.com/400x300?text=Bacterial+Spot
Chilli,Cercospora Leaf Spot,Frog-eye spots with white center.,Mancozeb.,Cercospora capsici,https://via.placeholder.com/400x300?text=Cercospora+Leaf+Spot
Chilli,Fusarium Wilt,Yellowing and wilting.,Drench Carbendazim.,Fusarium oxysporum,https://via.placeholder.com/400x300?text=Fusarium+Wilt
Chilli,Damping Off,Seedlings collapse at ground level.,Seed treatment.,Pythium/Rhizoctonia,https://via.placeholder.com/400x300?text=Damping+Off
Chilli,Mosaic Virus,"Mottled leaves, distorted fruit.",Remove infected plants.,CMV / TMV,https://via.placeholder.com/400x300?text=Mosaic+Virus
Chilli,Choanephora Blight,Wet rot of flowers and tips.,Fungicides.,Choanephora cucurbitarum,https://via.placeholder.com/400x300?text=Choanephora+Blight
Chilli,Phytophthora Blight,"Dark lesions on stems, fruit rot.",Metalaxyl.,Phytophthora capsici,https://via.placeholder.com/400x300?text=Phytophthora+Blight
Mango,Anthracnose,Black spots on leaves/flowers/fruits. Tear staining.,Spray Carbendazim/Mancozeb.,Colletotrichum gloeosporioides,https://via.placeholder.com/400x300?text=Anthracnose
Mango,Powdery Mildew,White powdery growth on floral panicles. Fruit drop.,Wettable sulphur.,Oidium mangiferae,https://via.placeholder.com/400x300?text=Powdery+Mildew
Mango,Malformation,Compact bunchy panicles (Witch's broom).,Prune diseased parts. NAA spray.,Fusarium moniliforme,https://via.placeholder.com/400x300?text=Malformation
Mango,Die Back,Drying of twigs from top downwards.,Prune and apply Copper Oxychloride.,Lasiodiplodia theobromae,https://via.placeholder.com/400x300?text=Die+Back
Mango,Black Tip,Distal end of fruit turns black and hard.,Borax spray. Avoid brick kilns nearby.,Physiological/Fumes,https://via.placeholder.com/400x300?text=Black+Tip
Mango,Red Rust,Rusty red algal spots on leaves.,Copper sprays.,Cephaleuros virescens (Algae),https://via.placeholder.com/400x300?text=Red+Rust
Mango,Sooty Mold,Black sticky coating on leaves/fruit.,Control insects (honeydew). Starch solution.,Capnodium species,https://via.placeholder.com/400x300?text=Sooty+Mold
Mango,Phoma Blight,Angular brown spots.,Fungicides.,Phoma glomerata,https://via.placeholder.com/400x300?text=Phoma+Blight
Mango,Bacterial Canker,"Water soaked lesions, fruit cracks.",Streptocycline.,Xanthomonas campestris,https://via.placeholder.com/400x300?text=Bacterial+Canker
Mango,Leaf Blight,Brown scorched margins.,Mancozeb.,Pestalotiopsis mangiferae,https://via.placeholder.com/400x300?text=Leaf+Blight
